F_R_NAME,          F_R_BREWER,          F_R_DATE,          F_Equipment_NOTES,          F_Style_name,          F_S_CATEGORY,          F_S_MIN_OG,          F_S_MAX_OG,          F_S_MIN_FG,          F_S_MAX_FG,          F_S_MIN_IBU,          F_S_MAX_IBU,          F_S_MIN_CARB,          F_S_MAX_CARB,          F_S_MIN_ABV,          F_S_MAX_ABV,          F_S_DESCRIPTION,          F_S_INGREDIENTS,          F_S_EXAMPLES,          F_MH_GRAIN_WEIGHT,          F_MH_GRAIN_TEMP,          F_MH_BOIL_TEMP,          F_MH_PH,          F_A_AGE,          F_R_OG_MEASURED,          F_R_FG_MEASURED,          F_R_DESCRIPTION
RyePA PM,          ,          7/5/11,          Simple Brew Pot with a 5 Gallon Capacity - leaving a workable boil volume of around 4.25 gal.  Used for extract or partial mash brewing.,          American IPA,          India Pale Ale (IPA),          1.056,          1.075,          1.01,          1.018,          40,          70,          2.2,          2.7,          5.5,          7.5,          http://www.bjcp.org/2008styles/style14.html#1b A decidedly hoppy and bitter moderately strong American pale ale.,          Pale ale malt(well-modified);American hops;American yeast that can give a clean or slightly fruity profile. Generally all-maltbut mashed at lower temperatures for high attenuation.Water character varies from soft to moderately sulfate.,          Bell’s Two-Hearted AleAleSmith IPARussian River Blind Pig IPAStone IPAThree Floyds Alpha KingGreat Divide Titan IPABear Republic Raver 5 IPAVictory Hop DevilSierra Nevada Celebration AleAnderson Valley Hop Ottin’Dogfish Head 60 Minute IPA +++,          80,          72,          212,          5.4,          28,          1.065,          1.016,          
Baltic Porter,          ,          6/28/11,          5 gallon kettle for stovetop extract.,          Baltic Porter,          Porter,          1.06,          1.09,          1.016,          1.024,          20,          40,          2.3,          2.8,          5.5,          9.5,          Traditional beer from countries bordering the Baltic Sea.  A cross between English Porters influenced also by Russian Stouts.  Rich malty sweetness with complex blend of deep malts.,          Munich or Vienna malt base. Chocolate or black malt. Continental hops to balance. Crystal brown or amber malts to add to complexity. Lager yeast or cold fermented ale yeast. Complex adjuncts in small amounts.,          Sinebrychoof Porter Baltika Porter Aldaris Porteris Stepan Razin Porter Utenos Porter,          32,          72,          212,          5.4,          28,          1.075,          1.022,          
Baltic Porter AGK,          ,          6/28/11,          5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,          Baltic Porter,          Porter,          1.06,          1.09,          1.016,          1.024,          20,          40,          2.3,          2.8,          5.5,          9.5,          http://www.bjcp.org/2008styles/style12.html#1c A Baltic Porter often has the malt flavors reminiscent of an English brown porter and the restrained roast of a schwarzbier but with a higher OG and alcohol content than either.  Very complex with multi-layered flavors,          Generally lager yeast (cold fermented if using ale yeast).  Debittered chocolate or black malt.  Munich or Vienna base malt.  Continental hops.  May contain crystal malts and/or adjuncts.  Brown or amber malt common in historical recipes.,          Sinebrychoff PorterOkocim PorterZywiec PorterBaltika #6 PorterCarnegie Stark Porter Dojlidy PolskiAldaris PorterisUtenos PorterKo_lak PorterStepan Razin PorterNøgne ø porterNeuzeller Kloster-Bräu Neuzeller PorterSouthampton Imperial Baltic,          224,          72,          212,          5.4,          28,          1.081,          1.021,          
Bourbon Barrel Porter,          ,          6/29/11,          5 gallon kettle for stovetop extract.,          Robust Porter,          Porter,          1.048,          1.065,          1.012,          1.016,          25,          55,          1.8,          2.5,          4.8,          6,          Stronger darker version of porter with a slight dryness.  Flavor derived from chocolate and black malts but lacks the strong roasted flavor of a dry stout. Roasty aroma.,          English malt. Dark Crystal chocolate and black or roast malt. Often black patent chocolate and roasted malts. Traditional english ale hops and yeast.  Moderate to high carbonate water.,          Sierra Nevada Porter Anchor Porter Bell's Porter Thirsty Dog Old Leghumper Otter Creek Stovepipe Porter Avery New World Porter Redhook Blackhook Porter,          160,          72,          212,          5.4,          28,          1.065,          1.015,          
Bourbon Barrel Porter AGK,          ,          6/29/11,          5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,          Robust Porter,          Porter,          1.048,          1.065,          1.012,          1.016,          25,          55,          1.8,          2.5,          4.8,          6,          Stronger darker version of porter with a slight dryness.  Flavor derived from chocolate and black malts but lacks the strong roasted flavor of a dry stout. Roasty aroma.,          English malt. Dark Crystal chocolate and black or roast malt. Often black patent chocolate and roasted malts. Traditional english ale hops and yeast.  Moderate to high carbonate water.,          Sierra Nevada Porter Anchor Porter Bell's Porter Thirsty Dog Old Leghumper Otter Creek Stovepipe Porter Avery New World Porter Redhook Blackhook Porter,          200,          72,          212,          5.4,          28,          1.065,          1.015,          
Midnight Beatdown Wheaten Porter PM,          ,          7/5/11,          Simple Brew Pot with a 5 Gallon Capacity - leaving a workable boil volume of around 4.25 gal.  Used for extract or partial mash brewing.,          Robust Porter,          Porter,          1.048,          1.065,          1.012,          1.016,          25,          55,          1.8,          2.5,          4.8,          6.5,          http://www.bjcp.org/2008styles/style12.html#1b A substantial malty dark ale with a complex & flavorful roasty character Stronger hoppier &/or roastier porter designed as either historical throwback or American interpretation of style.Trad versions have a more subtle hop character(often English)modern versions may be considerably more aggressive.Both types are valid,          May have several maltsdarkroasted malts & grainsoften inc. black patent malt(chocolate malt&/or roasted barley may be used).Bitteringflavor&/or aroma hops freq UK/US.H2O w mod - high carbonate hardness typ.Ale yeast either clean US/characterful Eng var.,          Great Lakes Edmund Fitzgerald Porter Meantime London Porter Anchor Porter Smuttynose Robust Porter Sierra Nevada Porter Deschutes Black Butte Porter  Boulevard Bully! Porter Rogue Mocha Porter Avery New World Porter Bell's Porter Great Divide S,          72,          72,          212,          5.4,          28,          1.062,          1.014,          
Peace Coffee Stout Porter,          ,          7/1/11,          5 gallon kettle for stovetop extract.,          Specialty Beer,          Specialty Beer,          1.03,          1.11,          1.006,          1.024,          5,          70,          1.8,          3,          2.5,          12,          A harmonious marriage of ingredients processes and beer. The key attributes of the underlying style (if declared) will be atypical due to the addition of special ingredients or techniques; do not expect the base beer to taste the same as the unadulterated version. Judge the beer based on the pleasantness and harmony of the resulting combination. The overall uniqueness of the process ingredients used and creativity should be considered. The overall rating of the beer depends heavily on the inherently subjective assessment of distinctiveness and drinkability. Base Style: THE BREWER MAY SPECIFY AN UNDERLYING BEER STYLE. The base style may be a classic style (i.e. a named subcategory from these Style Guidelines) or a broader characterization (e.g. “Porter” or “Brown Ale”). If a base style is declared the style should be recognizable. The beer should be judged by how well the special ingredient or process complements enhances and harmonizes with the underlying style. Overall harmony and drinkability are the keys to presenting a well-made specialty beer. The distinctive nature of the stated specialty ingredients/methods should complement the original style (if declared) and not totally overwhelm it. The brewer should recognize that some combinations of base beer styles and ingredients or techniques work well together while others do not make palatable combinations. THE BREWER MUST SPECIFY THE “EXPERIMENTAL NATURE” OF THE BEER (E.G. TYPE OF SPECIAL INGREDIENTS USED PROCESS UTILIZED OR HISTORICAL STYLE BEING BREWED) OR WHY THE BEER DOESN’T FIT AN ESTABLISHED STYLE. For historical styles or unusual ingredients/techniques that may not be known to all beer judges the brewer should provide descriptions of the styles ingredients and/or techniques as an aid to the judges.,          Varies by base style.,          Bell’s Rye Stout Bell’s Eccentric Ale Samuel Adams Triple Bock and Utopias Hair of the Dog Adam Great Alba Scots Pine Tommyknocker Maple Nut Brown Ale Great Divide Bee Sting Honey Ale Stoudt’s Honey Double Mai Bock Rogue Dad’s Little Helper Rogue Honey Cream Ale Dogfish Head India Brown Ale Zum Uerige Sticke and Doppel Sticke Altbier Yards Brewing Company General Washington Tavern Porter Rauchenfels Steinbier Odells 90 Shilling Ale Bear Republic Red Rocket Ale Stone Arrogant Bastard,          160,          72,          212,          5.4,          30,          1.046,          1.01,          
Peace Coffee Stout Porter AGK,          ,          7/1/11,          5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,          Specialty Beer,          Specialty Beer,          1.03,          1.11,          1.006,          1.024,          5,          70,          1.8,          3,          2.5,          12,          A harmonious marriage of ingredients processes and beer. The key attributes of the underlying style (if declared) will be atypical due to the addition of special ingredients or techniques; do not expect the base beer to taste the same as the unadulterated version. Judge the beer based on the pleasantness and harmony of the resulting combination. The overall uniqueness of the process ingredients used and creativity should be considered. The overall rating of the beer depends heavily on the inherently subjective assessment of distinctiveness and drinkability. Base Style: THE BREWER MAY SPECIFY AN UNDERLYING BEER STYLE. The base style may be a classic style (i.e. a named subcategory from these Style Guidelines) or a broader characterization (e.g. “Porter” or “Brown Ale”). If a base style is declared the style should be recognizable. The beer should be judged by how well the special ingredient or process complements enhances and harmonizes with the underlying style. Overall harmony and drinkability are the keys to presenting a well-made specialty beer. The distinctive nature of the stated specialty ingredients/methods should complement the original style (if declared) and not totally overwhelm it. The brewer should recognize that some combinations of base beer styles and ingredients or techniques work well together while others do not make palatable combinations. THE BREWER MUST SPECIFY THE “EXPERIMENTAL NATURE” OF THE BEER (E.G. TYPE OF SPECIAL INGREDIENTS USED PROCESS UTILIZED OR HISTORICAL STYLE BEING BREWED) OR WHY THE BEER DOESN’T FIT AN ESTABLISHED STYLE. For historical styles or unusual ingredients/techniques that may not be known to all beer judges the brewer should provide descriptions of the styles ingredients and/or techniques as an aid to the judges.,          Varies by base style.,          Bell’s Rye Stout Bell’s Eccentric Ale Samuel Adams Triple Bock and Utopias Hair of the Dog Adam Great Alba Scots Pine Tommyknocker Maple Nut Brown Ale Great Divide Bee Sting Honey Ale Stoudt’s Honey Double Mai Bock Rogue Dad’s Little Helper Rogue Honey Cream Ale Dogfish Head India Brown Ale Zum Uerige Sticke and Doppel Sticke Altbier Yards Brewing Company General Washington Tavern Porter Rauchenfels Steinbier Odells 90 Shilling Ale Bear Republic Red Rocket Ale Stone Arrogant Bastard,          144.0138327,          72,          212,          5.4,          30,          1.046,          1.01,          
Peat Smoked Porter,          ,          7/1/11,          5 gallon kettle for stovetop extract.,          Other Smoked Beer,          Smoke-Flavored and Wood-Aged Beer,          1.03,          1.11,          1.006,          1.024,          5,          70,          1.8,          3,          2.5,          12,          Broad category for styles such as Porter Amber Ale Lagers brewed with smoked malt but not in the Bamberg Rauchbier style. BASE STYLE MUST BE SPECIFED IF THERE IS ONE.,          Vary by base style. Wood or material burned to smoke malt adds unique flavor.  Peat Beechwood and hardwoods are most commonly used.,          Adelscott Peat Smoked Ale Alaskan Smoked Porter Vermont Pub Smoked Porter Rogue moke Arcadia London Porter DeGroen's Rauchbock Spezial Rauchbier Stone Smoked Porter,          24,          72,          212,          5.4,          28,          1.062,          1.014,          
Peat Smoked Porter AGK,          ,          7/1/11,          5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,          Other Smoked Beer,          Smoke-Flavored and Wood-Aged Beer,          1.03,          1.11,          1.006,          1.024,          5,          70,          1.8,          3,          2.5,          12,          Broad category for styles such as Porter Amber Ale Lagers brewed with smoked malt but not in the Bamberg Rauchbier style. BASE STYLE MUST BE SPECIFED IF THERE IS ONE.,          Vary by base style. Wood or material burned to smoke malt adds unique flavor.  Peat Beechwood and hardwoods are most commonly used.,          Adelscott Peat Smoked Ale Alaskan Smoked Porter Vermont Pub Smoked Porter Rogue moke Arcadia London Porter DeGroen's Rauchbock Spezial Rauchbier Stone Smoked Porter,          208,          72,          212,          5.4,          28,          1.064,          1.014,          
St. Paul Porter,          ,          7/1/11,          5 gallon kettle for stovetop extract.,          Robust Porter,          Porter,          1.048,          1.065,          1.012,          1.016,          25,          55,          1.8,          2.5,          4.8,          6.5,          http://www.bjcp.org/2008styles/style12.html#1b A substantial malty dark ale with a complex & flavorful roasty character Stronger hoppier &/or roastier porter designed as either historical throwback or American interpretation of style.Trad versions have a more subtle hop character(often English)modern versions may be considerably more aggressive.Both types are valid,          May have several maltsdarkroasted malts & grainsoften inc. black patent malt(chocolate malt&/or roasted barley may be used).Bitteringflavor&/or aroma hops freq UK/US.H2O w mod - high carbonate hardness typ.Ale yeast either clean US/characterful Eng var.,          Great Lakes Edmund Fitzgerald Porter Meantime London Porter Anchor Porter Smuttynose Robust Porter Sierra Nevada Porter Deschutes Black Butte Porter  Boulevard Bully! Porter Rogue Mocha Porter Avery New World Porter Bell's Porter Great Divide S,          160,          72,          212,          5.4,          28,          1.053,          1.015,          
St. Paul Porter AGK,          ,          7/1/11,          5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,          Robust Porter,          Porter,          1.048,          1.065,          1.012,          1.016,          25,          55,          1.8,          2.5,          4.8,          6.5,          http://www.bjcp.org/2008styles/style12.html#1b A substantial malty dark ale with a complex & flavorful roasty character Stronger hoppier &/or roastier porter designed as either historical throwback or American interpretation of style.Trad versions have a more subtle hop character(often English)modern versions may be considerably more aggressive.Both types are valid,          May have several maltsdarkroasted malts & grainsoften inc. black patent malt(chocolate malt&/or roasted barley may be used).Bitteringflavor&/or aroma hops freq UK/US.H2O w mod - high carbonate hardness typ.Ale yeast either clean US/characterful Eng var.,          Great Lakes Edmund Fitzgerald Porter Meantime London Porter Anchor Porter Smuttynose Robust Porter Sierra Nevada Porter Deschutes Black Butte Porter  Boulevard Bully! Porter Rogue Mocha Porter Avery New World Porter Bell's Porter Great Divide S,          160,          72,          212,          5.4,          28,          1.053,          1.015,          
Urca Vanilla Porter  PM,          ,          9/29/11,          5 gallon kettle for stovetop extract.,          Robust Porter,          Porter,          1.048,          1.065,          1.012,          1.016,          25,          50,          1.8,          2.5,          4.8,          6.5,          A substantial malty dark ale with a complex and flavorful roasty character. Stronger hoppier and/or roastier version of porter designed as either a historical throwback or an American interpretation of the style. Traditional versions will have a more subtle hop character (often English) while modern versions may be considerably more aggressive. Both types are equally valid. Although a rather broad style open to brewer interpretation it may be distinguished from Stout as lacking a strong roasted barley character. It differs from a brown porter in that a black patent or roasted grain character is usually present and it can be stronger in alcohol. Roast intensity and malt flavors can also vary significantly. May or may not have a strong hop character and may or may not have significant fermentation by-products; thus may seem to have an “American” or “English” character.,          May contain several malts prominently dark roasted malts and grains which often include black patent malt (chocolate malt and/or roasted barley may also be used in some versions). Hops are used for bittering flavor and/or aroma and are frequently UK or US varieties. Water with moderate to high carbonate hardness is typical. Ale yeast can either be clean US versions or characterful English varieties.,          Great Lakes Edmund Fitzgerald Porter Meantime London Porter Anchor Porter Smuttynose Robust Porter Sierra Nevada Porter Deschutes Black Butte Porter Boulevard Bully! Porter Rogue Mocha Porter Avery New World Porter Bell’s Porter Great Divide Saint Bridget’s Porter,          70,          72,          212,          5.4,          30,          1.046,          1.01,          
Urca Vanilla Porter AGK,          ,          9/29/11,          5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,          Robust Porter,          Porter,          1.048,          1.065,          1.012,          1.016,          25,          50,          1.8,          2.5,          4.8,          6.5,          A substantial malty dark ale with a complex and flavorful roasty character. Stronger hoppier and/or roastier version of porter designed as either a historical throwback or an American interpretation of the style. Traditional versions will have a more subtle hop character (often English) while modern versions may be considerably more aggressive. Both types are equally valid. Although a rather broad style open to brewer interpretation it may be distinguished from Stout as lacking a strong roasted barley character. It differs from a brown porter in that a black patent or roasted grain character is usually present and it can be stronger in alcohol. Roast intensity and malt flavors can also vary significantly. May or may not have a strong hop character and may or may not have significant fermentation by-products; thus may seem to have an “American” or “English” character.,          May contain several malts prominently dark roasted malts and grains which often include black patent malt (chocolate malt and/or roasted barley may also be used in some versions). Hops are used for bittering flavor and/or aroma and are frequently UK or US varieties. Water with moderate to high carbonate hardness is typical. Ale yeast can either be clean US versions or characterful English varieties.,          Great Lakes Edmund Fitzgerald Porter Meantime London Porter Anchor Porter Smuttynose Robust Porter Sierra Nevada Porter Deschutes Black Butte Porter Boulevard Bully! Porter Rogue Mocha Porter Avery New World Porter Bell’s Porter Great Divide Saint Bridget’s Porter,          190.08,          72,          212,          5.4,          30,          1.046,          1.01,          
Breakwater Pale Ale,          ,          9/29/11,          5 gallon kettle for stovetop extract.,          American Pale Ale,          American Ale,          1.045,          1.06,          1.01,          1.015,          30,          45,          2.3,          2.8,          4.5,          6.2,          Refreshing and hoppy yet with sufficient supporting malt. An American adaptation of English pale ale reflecting indigenous ingredients (hops malt yeast and water). Often lighter in color cleaner in fermentation by-products and having less caramel flavors than English counterparts. There is some overlap in color between American pale ale and American amber ale. The American pale ale will generally be cleaner have a less caramelly malt profile less body and often more finishing hops.,          Pale ale malt typically American two-row. American hops often but not always ones with a citrusy character. American ale yeast. Water can vary in sulfate content but carbonate content should be relatively low. Specialty grains may add character and complexity but generally make up a relatively small portion of the grist. Grains that add malt flavor and richness light sweetness and toasty or bready notes are often used (along with late hops) to differentiate brands.,          Sierra Nevada Pale Ale Stone Pale Ale Great Lakes Burning River Pale Ale Bear Republic XP Pale Ale Anderson Valley Poleeko Gold Pale Ale Deschutes Mirror Pond Full Sail Pale Ale Three Floyds X-Tra Pale Ale Firestone Pale Ale Left Hand Brewing Jackman's Pale Ale,          155.2,          72,          212,          5.4,          30,          1.046,          1.01,          
Breakwater Pale Ale AGK,          ,          9/29/11,          5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,          American Pale Ale,          American Ale,          1.045,          1.06,          1.01,          1.015,          30,          45,          2.3,          2.8,          4.5,          6.2,          Refreshing and hoppy yet with sufficient supporting malt. An American adaptation of English pale ale reflecting indigenous ingredients (hops malt yeast and water). Often lighter in color cleaner in fermentation by-products and having less caramel flavors than English counterparts. There is some overlap in color between American pale ale and American amber ale. The American pale ale will generally be cleaner have a less caramelly malt profile less body and often more finishing hops.,          Pale ale malt typically American two-row. American hops often but not always ones with a citrusy character. American ale yeast. Water can vary in sulfate content but carbonate content should be relatively low. Specialty grains may add character and complexity but generally make up a relatively small portion of the grist. Grains that add malt flavor and richness light sweetness and toasty or bready notes are often used (along with late hops) to differentiate brands.,          Sierra Nevada Pale Ale Stone Pale Ale Great Lakes Burning River Pale Ale Bear Republic XP Pale Ale Anderson Valley Poleeko Gold Pale Ale Deschutes Mirror Pond Full Sail Pale Ale Three Floyds X-Tra Pale Ale Firestone Pale Ale Left Hand Brewing Jackman's Pale Ale,          155.2,          72,          212,          5.4,          30,          1.046,          1.01,          
British Bitter,          ,          6/29/11,          5 gallon kettle for stovetop extract.,          Standard/Ordinary Bitter,          English Pale Ale,          1.032,          1.04,          1.007,          1.011,          25,          35,          0.8,          2.2,          3.2,          3.8,          http://www.bjcp.org/2008styles/style08.html#1a Low gravity alcohol & carbonation make this an easy-drinking beer. Some examples can be more malt balanced but should not override the overall bitter impression. Drinkability is a critical component of the style; emphasis is still on the bittering hop addition as opposed to aggressive mid & late hopping in American ales,          Pale ale amber &/or crystal malts may use black malt for color adj. May use sugar adjuncts corn/wheat. Engl. hops typical but USA & Euro var. are becoming common (esp. in the paler examples).Characterful English yeast. Often med sulfate water used,          Fuller's Chiswick Bitter Adnams Bitter Young's Bitter Greene King IPA Oakham Jeffrey Hudson Bitter (JHB) Brains Bitter Tetley’s Original Bitter Brakspear Bitter Boddington's Pub Draught,          160,          72,          212,          5.4,          28,          1.032,          1.008,          
British Bitter AGK,          ,          6/29/11,          5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,          Standard/Ordinary Bitter,          English Pale Ale,          1.032,          1.04,          1.007,          1.011,          25,          35,          0.8,          2.2,          3.2,          3.8,          http://www.bjcp.org/2008styles/style08.html#1a Low gravity alcohol & carbonation make this an easy-drinking beer. Some examples can be more malt balanced but should not override the overall bitter impression. Drinkability is a critical component of the style; emphasis is still on the bittering hop addition as opposed to aggressive mid & late hopping in American ales,          Pale ale amber &/or crystal malts may use black malt for color adj. May use sugar adjuncts corn/wheat. Engl. hops typical but USA & Euro var. are becoming common (esp. in the paler examples).Characterful English yeast. Often med sulfate water used,          Fuller's Chiswick Bitter Adnams Bitter Young's Bitter Greene King IPA Oakham Jeffrey Hudson Bitter (JHB) Brains Bitter Tetley’s Original Bitter Brakspear Bitter Boddington's Pub Draught,          108,          72,          212,          5.4,          28,          1.035,          1.005,          
English Pale Ale,          ,          6/30/11,          5 gallon kettle for stovetop extract.,          Extra Special/Strong Bitter (English Pale Ale),          English Pale Ale,          1.048,          1.06,          1.01,          1.016,          30,          50,          1.5,          2.4,          4.6,          6.2,          http://www.bjcp.org/2008styles/style08.html#1c An average-strength to moderately-strong English ale.The balance may be fairly even between malt & hops to somewhat bitter.Drinkability is a critical component of the style; emphasis is still on the bittering hop addition as opposed to the aggressive middle and late hopping seen in American ales.,          Pale ale amber&/or crystal malts may use black malt for color adj. May use sugar adjuncts corn/wheat. Eng. hops typ. but USA & Euro var. are becoming common (esp.in paler examples).Characterful Eng. yeast.Burton versions use med to high sulfate water.,          Fullers ESBAdnams BroadsideShepherd Neame Bishop's FingerYoung’s Ram RodSamuel Smith’s Old Brewery Pale AleBass AleWhitbread Pale AleShepherd Neame SpitfireMarston’s PedigreeBlack Sheep AleVintage HenleyMordue Workie TicketOld Speckle Hen +++,          160,          72,          212,          5.4,          28,          1.01,          1.005,          
English Pale Ale AGK,          ,          6/30/11,          5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,          Extra Special/Strong Bitter (English Pale Ale),          English Pale Ale,          1.048,          1.06,          1.01,          1.016,          30,          50,          1.5,          2.4,          4.6,          6.2,          http://www.bjcp.org/2008styles/style08.html#1c An average-strength to moderately-strong English ale.The balance may be fairly even between malt & hops to somewhat bitter.Drinkability is a critical component of the style; emphasis is still on the bittering hop addition as opposed to the aggressive middle and late hopping seen in American ales.,          Pale ale amber&/or crystal malts may use black malt for color adj. May use sugar adjuncts corn/wheat. Eng. hops typ. but USA & Euro var. are becoming common (esp.in paler examples).Characterful Eng. yeast.Burton versions use med to high sulfate water.,          Fullers ESBAdnams BroadsideShepherd Neame Bishop's FingerYoung’s Ram RodSamuel Smith’s Old Brewery Pale AleBass AleWhitbread Pale AleShepherd Neame SpitfireMarston’s PedigreeBlack Sheep AleVintage HenleyMordue Workie TicketOld Speckle Hen +++,          152,          72,          212,          5.4,          28,          1.055,          1.014,          
Extra Pale Ale,          ,          6/30/11,          5 gallon kettle for stovetop extract.,          American Pale Ale,          American Ale,          1.045,          1.06,          1.01,          1.015,          30,          45,          2.3,          2.8,          4.5,          6,          http://www.bjcp.org/2008styles/style10.html#1a Refreshing and hoppy yet with sufficient supporting malt. An American adaptation of English pale ale reflecting indigenous ingredients (hops malt yeast and water).  Often lighter in color cleaner in fermentation by-products and having less caramel flavors than English counterparts,          Pale ale malt typ Am two-row. Am hops often citrusy. Am ale yeast. Water can vary in sulfates keep carbonates low. Specialty grains add character &complexity make up a relatively sm portion of grist.,          Sierra Nevada Pale Ale Stone Pale Ale Great Lakes Burning River Pale Ale Bear Republic XP Pale Ale Anderson Valley Poleeko Gold Pale Ale Deschutes Mirror Pond Full Sail Pale Ale Three Floyds X-Tra Pale Ale Firestone Pale Ale Left Hand Brewing Ja,          160,          72,          212,          5.4,          28,          1.044,          1.011,          
Extra Pale Ale AGK,          ,          6/30/11,          5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,          American Pale Ale,          American Ale,          1.045,          1.06,          1.01,          1.015,          30,          45,          2.3,          2.8,          4.5,          6,          http://www.bjcp.org/2008styles/style10.html#1a Refreshing and hoppy yet with sufficient supporting malt. An American adaptation of English pale ale reflecting indigenous ingredients (hops malt yeast and water).  Often lighter in color cleaner in fermentation by-products and having less caramel flavors than English counterparts,          Pale ale malt typ Am two-row. Am hops often citrusy. Am ale yeast. Water can vary in sulfates keep carbonates low. Specialty grains add character &complexity make up a relatively sm portion of grist.,          Sierra Nevada Pale Ale Stone Pale Ale Great Lakes Burning River Pale Ale Bear Republic XP Pale Ale Anderson Valley Poleeko Gold Pale Ale Deschutes Mirror Pond Full Sail Pale Ale Three Floyds X-Tra Pale Ale Firestone Pale Ale Left Hand Brewing Ja,          144,          72,          212,          5.4,          28,          1.043,          1.005,          
Extra Special Bitter,          ,          6/30/11,          5 gallon kettle for stovetop extract.,          Extra Special/Strong Bitter (English Pale Ale),          English Pale Ale,          1.048,          1.06,          1.01,          1.016,          30,          50,          1.5,          2.4,          4.6,          6.2,          http://www.bjcp.org/2008styles/style08.html#1c An average-strength to moderately-strong English ale.The balance may be fairly even between malt & hops to somewhat bitter.Drinkability is a critical component of the style; emphasis is still on the bittering hop addition as opposed to the aggressive middle and late hopping seen in American ales.,          Pale ale amber&/or crystal malts may use black malt for color adj. May use sugar adjuncts corn/wheat. Eng. hops typ. but USA & Euro var. are becoming common (esp.in paler examples).Characterful Eng. yeast.Burton versions use med to high sulfate water.,          Fullers ESBAdnams BroadsideShepherd Neame Bishop's FingerYoung’s Ram RodSamuel Smith’s Old Brewery Pale AleBass AleWhitbread Pale AleShepherd Neame SpitfireMarston’s PedigreeBlack Sheep AleVintage HenleyMordue Workie TicketOld Speckle Hen +++,          160,          72,          212,          5.4,          28,          1.01,          1.005,          
Extra Special Bitter AGK,          ,          6/30/11,          5 gallon cooler MLT w/ false bottom 8 or 10 gallon boiler.,          Extra Special/Strong Bitter (English Pale Ale),          English Pale Ale,          1.048,          1.06,          1.01,          1.016,          30,          50,          1.5,          2.4,          4.6,          6.2,          http://www.bjcp.org/2008styles/style08.html#1c An average-strength to moderately-strong English ale.The balance may be fairly even between malt & hops to somewhat bitter.Drinkability is a critical component of the style; emphasis is still on the bittering hop addition as opposed to the aggressive middle and late hopping seen in American ales.,          Pale ale amber&/or crystal malts may use black malt for color adj. May use sugar adjuncts corn/wheat. Eng. hops typ. but USA & Euro var. are becoming common (esp.in paler examples).Characterful Eng. yeast.Burton versions use med to high sulfate water.,          Fullers ESBAdnams BroadsideShepherd Neame Bishop's FingerYoung’s Ram RodSamuel Smith’s Old Brewery Pale AleBass AleWhitbread Pale AleShepherd Neame SpitfireMarston’s PedigreeBlack Sheep AleVintage HenleyMordue Workie TicketOld Speckle Hen +++,          160,          72,          212,          5.4,          28,          1.01,          1.005,          
Innkeeper,          ,          6/30/11,          5 gallon kettle for stovetop extract.,          Special/Best/Premium Bitter,          English Pale Ale,          1.04,          1.048,          1.008,          1.012,          25,          40,          0.8,          2.1,          3.8,          4.6,          A flavorful yet refreshing session beer. Some examples can be more malt balanced but this should not override the overall bitter impression. Drinkability is a critical component of the style; emphasis is still on the bittering hop addition as opposed to the aggressive middle and late hopping seen in American ales. Originally a draught ale served very fresh under no pressure (gravity or hand pump only) at cellar temperatures (i.e. “real ale”). Bitter was created as a draught alternative (i.e. running beer) to country-brewed pale ale around the start of the 20th century and became widespread once brewers understood how to “Burtonize” their water to successfully brew pale beers and to use crystal malts to add a fullness and roundness of palate. More evident malt flavor than in an ordinary bitter this is a stronger session-strength ale. Some modern variants are brewed exclusively with pale malt and are known as golden or summer bitters. Most bottled or kegged versions of UK-produced bitters are higher-alcohol versions of their cask (draught) products produced specifically for export. The IBU levels are often not adjusted so the versions available in the US often do not directly correspond to their style subcategories in Britain. This style guideline reflects the “real ale” version of the style not the export formulations of commercial products.,          Pale ale amber and/or crystal malts may use a touch of black malt for color adjustment. May use sugar adjuncts corn or wheat. English hops most typical although American and European varieties are becoming more common (particularly in the paler examples). Characterful English yeast. Often medium sulfate water is used.,          Fuller's London Pride Coniston Bluebird Bitter Timothy Taylor Landlord Adnams SSB Young’s Special Shepherd Neame Masterbrew Bitter Greene King Ruddles County Bitter RCH Pitchfork Rebellious Bitter Brains SA Black Sheep Best Bitter Goose Island Honkers Ale Rogue Younger’s Special Bitter,          160,          72,          212,          5.4,          30,          1.046,          1.01,          
